test set,McCormick 1,McCormick 0.5,McCormick 0.25,Time McCormick 1,Time McCormick_0.5,Time McCormick_0.25
j301_1,15058.0,15058.0,15255.0,0,0,0
j301_2,17453.0,17453.0,18996.0,0,0,0
j301_3,15484.0,15484.0,16386.0,0,0,0
j301_4,18986.0,18986.0,23221.0,0,0,0
j301_5,12222.0,12170.0,14416.0,0,0,0
j301_6,16540.0,16540.0,18732.0,0,0,0
j301_7,16560.0,16560.0,19724.0,0,0,0
j301_8,13314.0,13314.0,13431.0,0,0,0
j301_9,17829.0,17829.0,20113.0,0,0,0
j301_10,16112.0,17081.0,20009.0,0,0,0
j302_1,11738.0,11738.0,12207.0,0,0,0
j302_2,15132.0,15132.0,15127.0,0,0,0
j302_3,18601.0,18601.0,19687.0,0,0,0
j302_4,15261.0,15261.0,16575.0,0,0,0
j302_5,17572.0,17572.0,19600.0,0,0,0
j302_6,12984.0,12984.0,13014.0,0,0,0
j302_7,15980.0,15980.0,19181.0,0,0,0
j302_8,22931.0,22979.0,29393.0,0,0,0
j302_9,15534.0,15534.0,15534.0,0,0,0
j302_10,13436.0,13436.0,14898.0,0,0,0
j303_1,23114.0,25631.0,29858.0,0,0,0
j303_2,14175.0,14175.0,15144.0,0,0,0
j303_3,13658.0,13658.0,14454.0,0,0,0
j303_4,27842.0,30725.0,34877.5,0,0,0
j303_5,17124.0,17124.0,17289.0,0,0,0
j303_6,17220.0,17220.0,19388.0,0,0,0
j303_7,13681.0,13681.0,14513.0,0,0,0
j303_8,14575.0,14575.0,14546.0,0,0,0
j303_9,16917.0,16917.0,17916.0,0,0,0
j303_10,15139.0,15139.0,15856.0,0,0,0
j304_1,16470.0,16470.0,17806.0,0,0,0
j304_2,22743.0,23956.0,27730.0,0,0,0
j304_3,13971.0,13986.0,15986.0,0,0,0
j304_4,17919.0,17919.0,19267.0,0,0,0
j304_5,17201.0,17201.0,21495.0,0,0,0
j304_6,17615.0,17615.0,20555.0,0,0,0
j304_7,16090.0,16090.0,17085.0,0,0,0
j304_8,17774.0,17774.0,19540.0,0,0,0
j304_9,16059.0,16009.0,17817.0,0,0,0
j304_10,12157.0,12157.0,13146.0,0,0,0
j305_1,15067.0,15067.0,16740.0,0,0,0
j305_2,16038.0,16038.0,16038.0,0,0,0
j305_3,18626.0,18626.0,20397.0,0,0,0
j305_4,16153.0,16153.0,16153.0,0,0,0
j305_5,20694.0,20694.0,24110.0,0,0,0
j305_6,15861.0,15861.0,17391.0,0,0,0
j305_7,18495.0,18495.0,20145.0,0,0,0
j305_8,20635.0,20635.0,22740.0,0,0,0
j305_9,13030.0,13030.0,13296.0,0,0,0
j305_10,20068.0,20024.0,24025.0,0,0,0
j306_1,21517.0,21517.0,21517.0,0,0,0
j306_2,20795.0,20795.0,23607.0,0,0,0
j306_3,17377.0,17377.0,17263.0,0,0,0
j306_4,16441.0,16933.0,18544.0,0,0,0
j306_5,22195.0,22195.0,23545.0,0,0,0
j306_6,14443.0,14443.0,16417.0,0,0,0
j306_7,20331.0,23286.0,26467.0,0,0,0
j306_8,13678.0,13678.0,14617.0,0,0,0
j306_9,20289.0,20289.0,23269.0,0,0,0
j306_10,23051.0,23051.0,26878.0,0,0,0
j307_1,19203.0,19203.0,20777.0,0,0,0
j307_2,12261.0,12261.0,12883.0,0,0,0
j307_3,18242.0,18242.0,22315.0,0,0,0
j307_4,16528.0,16528.0,18344.0,0,0,0
j307_5,16166.0,16166.0,17121.0,0,0,0
j307_6,11566.0,11566.0,13610.0,0,0,0
j307_7,15886.0,15886.0,18513.0,0,0,0
j307_8,16709.0,16709.0,17720.0,0,0,0
j307_9,15685.0,15685.0,17783.0,0,0,0
